Sample,Latency (ms)
0,0.00926809567366202
1,0.00926809567366202
2,0.00926809567366202
3,0.00926809567366202
4,0.00926809567366202
5,0.00926809567366202
6,0.00926809567366202
7,0.00926809567366202
8,0.00926809567366202
9,0.00926809567366202
10,0.00926809567366202
11,0.00926809567366202
12,0.00926809567366202
13,0.00926809567366202
14,0.00926809567366202
15,0.00926809567366202
16,0.00926809567366202
17,0.00926809567366202
18,0.00926809567366202
19,0.00926809567366202
20,0.00926809567366202
21,0.00926809567366202
22,0.00926809567366202
23,0.00926809567366202
24,0.00926809567366202
25,0.00926809567366202
26,0.00926809567366202
27,0.00926809567366202
28,0.00926809567366202
29,0.00926809567366202
30,0.00926809567366202
31,0.00926809567366202
32,0.00926809567366202
33,0.00926809567366202
34,0.00926809567366202
35,0.00926809567366202
36,0.00926809567366202
37,0.00926809567366202
38,0.00926809567366202
39,0.00926809567366202
40,0.00926809567366202
41,0.00926809567366202
42,0.00926809567366202
43,0.00926809567366202
44,0.00926809567366202
45,0.00926809567366202
46,0.00926809567366202
47,0.00926809567366202
48,0.00926809567366202
49,0.00926809567366202
50,0.00926809567366202
51,0.00926809567366202
52,0.00926809567366202
53,0.00926809567366202
54,0.00926809567366202
55,0.00926809567366202
56,0.00926809567366202
57,0.00926809567366202
58,0.00926809567366202
59,0.00926809567366202
60,0.00926809567366202
61,0.00926809567366202
62,0.00926809567366202
63,0.00926809567366202
64,0.00926809567366202
65,0.00926809567366202
66,0.00926809567366202
67,0.00926809567366202
68,0.00926809567366202
69,0.00926809567366202
70,0.00926809567366202
71,0.00926809567366202
72,0.00926809567366202
73,0.00926809567366202
74,0.00926809567366202
75,0.00926809567366202
76,0.00926809567366202
77,0.00926809567366202
78,0.00926809567366202
79,0.00926809567366202
80,0.00926809567366202
81,0.00926809567366202
82,0.00926809567366202
83,0.00926809567366202
84,0.00926809567366202
85,0.00926809567366202
86,0.00926809567366202
87,0.00926809567366202
88,0.00926809567366202
89,0.00926809567366202
90,0.00926809567366202
91,0.00926809567366202
92,0.00926809567366202
93,0.00926809567366202
94,0.00926809567366202
95,0.00926809567366202
96,0.00926809567366202
97,0.00926809567366202
98,0.00926809567366202
99,0.00926809567366202
100,0.00926809567366202
101,0.00926809567366202
102,0.00926809567366202
103,0.00926809567366202
104,0.00926809567366202
105,0.00926809567366202
106,0.00926809567366202
107,0.00926809567366202
108,0.00926809567366202
109,0.00926809567366202
110,0.00926809567366202
111,0.00926809567366202
112,0.00926809567366202
113,0.00926809567366202
114,0.00926809567366202
115,0.00926809567366202
116,0.00926809567366202
117,0.00926809567366202
118,0.00926809567366202
119,0.00926809567366202
120,0.00926809567366202
121,0.00926809567366202
122,0.00926809567366202
123,0.00926809567366202
124,0.00926809567366202
125,0.00926809567366202
126,0.00926809567366202
127,0.00926809567366202
128,0.00926809567366202
129,0.00926809567366202
